# Datafile created by QuickNXS 2.1.0
# Datafile created using Mantid 4.2.0
# Date: 2023-02-22 17:19:03
# Type: Specular
# Input file indices: 41925,41926,41927,41928,41929
# Extracted states: Off-Off
#
# [Direct Beam Runs]
#    DB_ID        P0        PN     x_pos   x_width     y_pos   y_width    bg_pos  bg_width      dpix       tth    number      File
#        1         0         0     220.1        11     125.5       110        30        20       219         0     41916  /SNS/REF_M/IPTS-31275/nexus/REF_M_41916.nxs.h5
#        2         0         0     220.1        11     125.5       110        30        20       219         0     41917  /SNS/REF_M/IPTS-31275/nexus/REF_M_41917.nxs.h5
#        3         0         0     220.5        13     125.5       110        30        20       219         0     41918  /SNS/REF_M/IPTS-31275/nexus/REF_M_41918.nxs.h5
#        4         0         0     220.5        13     125.5       110        30        20       219         0     41918  /SNS/REF_M/IPTS-31275/nexus/REF_M_41918.nxs.h5
#        5         0         0     220.5        13     125.5       110        30        20       219         0     41918  /SNS/REF_M/IPTS-31275/nexus/REF_M_41918.nxs.h5
#
# [Data Runs]
#    scale        P0        PN     x_pos   x_width     y_pos   y_width    bg_pos  bg_width       fan      dpix       tth    number     DB_ID      File
#   2.2387         3         1       179         8     128.5        85        30        20     False       219  -0.000933812     41925         1  /SNS/REF_M/IPTS-31275/nexus/REF_M_41925.nxs.h5
# 0.698863         2         3     178.8         9     128.5        85       230        20     False       219  -0.000933812     41926         2  /SNS/REF_M/IPTS-31275/nexus/REF_M_41926.nxs.h5
# 0.319154         2         3     180.6         8     128.5        85        30        20     False       219  0.533903     41927         3  /SNS/REF_M/IPTS-31275/nexus/REF_M_41927.nxs.h5
# 0.194984         2         2     180.5         9     126.5        85        30        20     False       219   1.46562     41928         4  /SNS/REF_M/IPTS-31275/nexus/REF_M_41928.nxs.h5
# 0.194984         2         1     180.6        10     125.5        85       240         6     False       219   3.10325     41929         5  /SNS/REF_M/IPTS-31275/nexus/REF_M_41929.nxs.h5
#
# [Global Options]
# name           value
# sample_length  10.0
#
# [Data]
#     Qz [1/A]	    R [a.u.]	   dR [a.u.]	   dQz [1/A]	 theta [rad]
9.589425e-03      	1.002689e+00      	1.182550e-02      	3.194414e-04      	6.086757e-03      
9.680876e-03      	9.953967e-01      	9.471588e-03      	3.225080e-04      	6.086757e-03      
9.774089e-03      	9.940037e-01      	8.608977e-03      	3.256342e-04      	6.086757e-03      
9.869114e-03      	9.812209e-01      	8.040162e-03      	3.288219e-04      	6.086757e-03      
9.966005e-03      	9.687999e-01      	7.706197e-03      	3.320728e-04      	6.086757e-03      
1.006482e-02      	9.668459e-01      	7.401996e-03      	3.353889e-04      	6.086757e-03      
1.016561e-02      	9.733413e-01      	7.270013e-03      	3.387721e-04      	6.086757e-03      
1.026844e-02      	9.569419e-01      	6.996981e-03      	3.422245e-04      	6.086757e-03      
1.037337e-02      	9.525633e-01      	6.795873e-03      	3.457482e-04      	6.086757e-03      
1.048047e-02      	9.347977e-01      	6.541247e-03      	3.493456e-04      	6.086757e-03      
1.058980e-02      	9.073834e-01      	6.257688e-03      	3.530188e-04      	6.086757e-03      
1.070144e-02      	9.036861e-01      	6.110767e-03      	3.567705e-04      	6.086757e-03      
1.081546e-02      	8.876959e-01      	5.920377e-03      	3.606031e-04      	6.086757e-03      
1.093193e-02      	8.837322e-01      	5.802406e-03      	3.645192e-04      	6.086757e-03      
1.105094e-02      	8.569252e-01      	5.619194e-03      	3.685217e-04      	6.086757e-03      
1.117257e-02      	8.259638e-01      	5.421083e-03      	3.726134e-04      	6.086757e-03      
1.129691e-02      	7.980862e-01      	5.226783e-03      	3.767975e-04      	6.086757e-03      
1.142404e-02      	7.698906e-01      	4.976686e-03      	3.810769e-04      	6.086757e-03      
1.155407e-02      	7.665109e-01      	4.812209e-03      	3.854552e-04      	6.086757e-03      
1.168709e-02      	7.455140e-01      	4.582092e-03      	3.899357e-04      	6.086757e-03      
1.182321e-02      	7.148864e-01      	4.323536e-03      	3.945220e-04      	6.086757e-03      
1.196254e-02      	6.920615e-01      	4.118208e-03      	3.992181e-04      	6.086757e-03      
1.210520e-02      	6.549030e-01      	3.862179e-03      	4.040279e-04      	6.086757e-03      
1.225129e-02      	6.191088e-01      	3.633453e-03      	4.089555e-04      	6.086757e-03      
1.240096e-02      	5.789038e-01      	3.394778e-03      	4.140055e-04      	6.086757e-03      
1.255432e-02      	5.442369e-01      	3.187817e-03      	4.191824e-04      	6.086757e-03      
1.271153e-02      	5.111694e-01      	3.007642e-03      	4.244912e-04      	6.086757e-03      
1.287273e-02      	4.675291e-01      	2.789702e-03      	4.299369e-04      	6.086757e-03      
1.303806e-02      	4.334318e-01      	2.616220e-03      	4.355249e-04      	6.086757e-03      
1.320770e-02      	4.023186e-01      	2.453379e-03      	4.412609e-04      	6.086757e-03      
1.338181e-02      	3.722548e-01      	2.303938e-03      	4.471510e-04      	6.086757e-03      
1.356058e-02      	3.421149e-01      	2.149530e-03      	4.532014e-04      	6.086757e-03      
1.374418e-02      	3.155023e-01      	2.012034e-03      	4.594189e-04      	6.086757e-03      
1.384654e-02      	2.519073e-01      	4.247959e-03      	4.608234e-04      	6.117232e-03      
1.393282e-02      	2.911870e-01      	1.887812e-03      	4.658104e-04      	6.086757e-03      
1.403706e-02      	2.756688e-01      	2.496616e-03      	4.672515e-04      	6.117232e-03      
1.412672e-02      	2.666962e-01      	1.783129e-03      	4.723834e-04      	6.086757e-03      
1.423289e-02      	2.445382e-01      	1.910575e-03      	4.738626e-04      	6.117232e-03      
1.432609e-02      	2.437225e-01      	1.669629e-03      	4.791459e-04      	6.086757e-03      
1.443426e-02      	2.268307e-01      	1.681957e-03      	4.806647e-04      	6.117232e-03      
1.453116e-02      	2.233559e-01      	1.609739e-03      	4.861062e-04      	6.086757e-03      
1.464142e-02      	2.025439e-01      	1.521511e-03      	4.876664e-04      	6.117232e-03      
1.474219e-02      	1.840279e-01      	2.293523e-03      	4.932731e-04      	6.086757e-03      
1.485461e-02      	1.840133e-01      	1.396806e-03      	4.948766e-04      	6.117232e-03      
1.495944e-02      	1.378116e-01      	4.019284e-03      	5.006561e-04      	6.086757e-03      
1.507409e-02      	1.718267e-01      	1.298092e-03      	5.023048e-04      	6.117232e-03      
1.530016e-02      	1.590958e-01      	1.200863e-03      	5.099611e-04      	6.117232e-03      
1.553311e-02      	1.482207e-01      	1.122977e-03      	5.178562e-04      	6.117232e-03      
1.577327e-02      	1.322954e-01      	1.037504e-03      	5.260017e-04      	6.117232e-03      
1.602097e-02      	1.222826e-01      	9.772493e-04      	5.344096e-04      	6.117232e-03      
1.627658e-02      	1.091077e-01      	9.272937e-04      	5.430930e-04      	6.117232e-03      
1.654047e-02      	1.001096e-01      	8.801805e-04      	5.520658e-04      	6.117232e-03      
1.681306e-02      	9.075114e-02      	8.139561e-04      	5.613428e-04      	6.117232e-03      
1.709478e-02      	8.208890e-02      	7.659256e-04      	5.709398e-04      	6.117232e-03      
1.738611e-02      	7.237004e-02      	7.156463e-04      	5.808738e-04      	6.117232e-03      
1.768754e-02      	6.295162e-02      	6.572564e-04      	5.911632e-04      	6.117232e-03      
1.799960e-02      	5.820625e-02      	6.180682e-04      	6.018274e-04      	6.117232e-03      
1.832288e-02      	5.071951e-02      	5.722229e-04      	6.128875e-04      	6.117232e-03      
1.865798e-02      	4.406989e-02      	5.375616e-04      	6.243662e-04      	6.117232e-03      
1.900556e-02      	3.864234e-02      	5.206793e-04      	6.362880e-04      	6.117232e-03      
1.936634e-02      	3.532467e-02      	4.799235e-04      	6.486792e-04      	6.117232e-03      
1.974109e-02      	3.031332e-02      	4.306314e-04      	6.615685e-04      	6.117232e-03      
2.013062e-02      	2.597766e-02      	3.872005e-04      	6.749868e-04      	6.117232e-03      
2.053583e-02      	2.290524e-02      	3.572823e-04      	6.889678e-04      	6.117232e-03      
2.095770e-02      	1.880068e-02      	3.224507e-04      	7.035480e-04      	6.117232e-03      
2.139725e-02      	1.623378e-02      	2.940922e-04      	7.187672e-04      	6.117232e-03      
2.185565e-02      	1.415302e-02      	2.717748e-04      	7.346689e-04      	6.117232e-03      
2.233411e-02      	1.201135e-02      	2.470939e-04      	7.513006e-04      	6.117232e-03      
2.283399e-02      	9.887413e-03      	2.187826e-04      	7.687144e-04      	6.117232e-03      
2.335676e-02      	8.252428e-03      	1.979837e-04      	7.869675e-04      	6.117232e-03      
2.379007e-02      	5.810063e-03      	2.491338e-04      	8.069718e-04      	1.051029e-02      
2.390402e-02      	6.699481e-03      	1.745989e-04      	8.061230e-04      	6.117232e-03      
2.411740e-02      	5.824775e-03      	1.493787e-04      	8.182225e-04      	1.051029e-02      
2.445387e-02      	5.590285e-03      	1.221708e-04      	8.297935e-04      	1.051029e-02      
2.447755e-02      	5.357130e-03      	1.540113e-04      	8.262504e-04      	6.117232e-03      
2.479985e-02      	4.927196e-03      	1.044309e-04      	8.416985e-04      	1.051029e-02      
2.507928e-02      	4.035262e-03      	1.320103e-04      	8.474266e-04      	6.117232e-03      
2.515577e-02      	4.188565e-03      	9.184677e-05      	8.539525e-04      	1.051029e-02      
2.552205e-02      	3.559425e-03      	8.154016e-05      	8.665711e-04      	1.051029e-02      
2.571133e-02      	3.210452e-03      	1.161807e-04      	8.697370e-04      	6.117232e-03      
2.589915e-02      	2.964622e-03      	7.147872e-05      	8.795709e-04      	1.051029e-02      
2.628757e-02      	2.655361e-03      	6.579761e-05      	8.929695e-04      	1.051029e-02      
2.637607e-02      	2.372215e-03      	9.964165e-05      	8.932767e-04      	6.117232e-03      
2.668781e-02      	2.327712e-03      	6.056102e-05      	9.067858e-04      	1.051029e-02      
2.707609e-02      	1.923795e-03      	8.990574e-05      	9.181518e-04      	6.117232e-03      
2.710043e-02      	1.853424e-03      	5.324406e-05      	9.210398e-04      	1.051029e-02      
2.752601e-02      	1.597636e-03      	4.786263e-05      	9.357526e-04      	1.051029e-02      
2.781428e-02      	1.489006e-03      	8.017372e-05      	9.444809e-04      	6.117232e-03      
2.796517e-02      	1.385725e-03      	4.447591e-05      	9.509471e-04      	1.051029e-02      
2.841857e-02      	1.130290e-03      	4.010600e-05      	9.666474e-04      	1.051029e-02      
2.888691e-02      	1.005822e-03      	3.713269e-05      	9.828794e-04      	1.051029e-02      
2.937095e-02      	9.442228e-04      	3.556758e-05      	9.996708e-04      	1.051029e-02      
2.987149e-02      	8.149050e-04      	3.280534e-05      	1.017051e-03      	1.051029e-02      
3.038938e-02      	7.466504e-04      	3.102593e-05      	1.035053e-03      	1.051029e-02      
3.092555e-02      	7.386363e-04      	3.032588e-05      	1.053709e-03      	1.051029e-02      
3.148097e-02      	7.053009e-04      	2.935508e-05      	1.073057e-03      	1.051029e-02      
3.205671e-02      	7.623161e-04      	3.084927e-05      	1.093137e-03      	1.051029e-02      
3.265391e-02      	6.781732e-04      	2.997819e-05      	1.113991e-03      	1.051029e-02      
3.327377e-02      	7.333573e-04      	3.020351e-05      	1.135665e-03      	1.051029e-02      
3.391763e-02      	7.293991e-04      	2.911545e-05      	1.158209e-03      	1.051029e-02      
3.458689e-02      	7.689515e-04      	2.900886e-05      	1.181677e-03      	1.051029e-02      
3.528310e-02      	7.650374e-04      	2.846878e-05      	1.206127e-03      	1.051029e-02      
3.600791e-02      	7.073962e-04      	2.718519e-05      	1.231624e-03      	1.051029e-02      
3.676313e-02      	7.326352e-04      	2.735430e-05      	1.258237e-03      	1.051029e-02      
3.755070e-02      	6.574887e-04      	2.563148e-05      	1.286042e-03      	1.051029e-02      
3.837276e-02      	5.916942e-04      	2.391909e-05      	1.315120e-03      	1.051029e-02      
3.923162e-02      	5.439951e-04      	2.250277e-05      	1.345564e-03      	1.051029e-02      
4.012980e-02      	4.610043e-04      	2.058845e-05      	1.377473e-03      	1.051029e-02      
4.107007e-02      	4.426554e-04      	1.982673e-05      	1.410956e-03      	1.051029e-02      
4.205546e-02      	3.925248e-04      	1.860739e-05      	1.446135e-03      	1.051029e-02      
4.222687e-02      	3.924994e-04      	3.696997e-05      	1.420127e-03      	1.865628e-02      
4.280787e-02      	3.699856e-04      	2.119885e-05      	1.439931e-03      	1.865628e-02      
4.308930e-02      	3.062175e-04      	1.612423e-05      	1.483143e-03      	1.051029e-02      
4.340509e-02      	3.061622e-04      	1.627196e-05      	1.460298e-03      	1.865628e-02      
4.401921e-02      	3.110106e-04      	1.489561e-05      	1.481254e-03      	1.865628e-02      
4.417525e-02      	2.690805e-04      	1.500927e-05      	1.522130e-03      	1.051029e-02      
4.465095e-02      	2.717144e-04      	1.340009e-05      	1.502825e-03      	1.865628e-02      
4.530109e-02      	2.293622e-04      	1.179275e-05      	1.525037e-03      	1.865628e-02      
4.531735e-02      	2.450913e-04      	1.427806e-05      	1.563260e-03      	1.051029e-02      
4.597044e-02      	2.204941e-04      	1.112644e-05      	1.547921e-03      	1.865628e-02      
4.652007e-02      	2.015289e-04      	1.313166e-05      	1.606718e-03      	1.051029e-02      
4.665987e-02      	2.097844e-04      	1.061492e-05      	1.571507e-03      	1.865628e-02      
4.737030e-02      	1.719617e-04      	9.496361e-06      	1.595828e-03      	1.865628e-02      
4.778837e-02      	1.834734e-04      	1.272354e-05      	1.652711e-03      	1.051029e-02      
4.810269e-02      	1.750109e-04      	9.433539e-06      	1.620921e-03      	1.865628e-02      
4.885808e-02      	1.410936e-04      	8.251294e-06      	1.646821e-03      	1.865628e-02      
4.963758e-02      	1.385582e-04      	8.123984e-06      	1.673570e-03      	1.865628e-02      
5.044235e-02      	1.254808e-04      	7.816721e-06      	1.701209e-03      	1.865628e-02      
5.127365e-02      	9.797481e-05      	6.929247e-06      	1.729785e-03      	1.865628e-02      
5.213281e-02      	9.531852e-05      	6.623331e-06      	1.759346e-03      	1.865628e-02      
